,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,TCS.NS
0,0,0,0,0,0,2023-02-01,769.0999755859375,1627.550048828125,2574.25,847.9500122070312,1551.0999755859375,361.3999938964844,2145.550048828125,2159.72705078125,527.3499755859375,3408.35009765625
1,1,1,1,1,1,2023-02-02,777.75,1603.3499755859375,2634.85009765625,857.9000244140625,1583.75,378.6000061035156,2144.89990234375,2147.774169921875,528.0999755859375,3460.39990234375
2,2,2,2,2,2,2023-02-03,792.9000244140625,1658.800048828125,2648.75,863.7999877929688,1599.4000244140625,380.6499938964844,2166.550048828125,2149.666259765625,544.2000122070312,3482.300048828125
3,3,3,3,3,3,2023-02-06,789.25,1651.75,2637.60009765625,853.7000122070312,1569.8499755859375,383.3999938964844,2156.10009765625,2133.467529296875,545.4000244140625,3459.949951171875
4,4,4,4,4,4,2023-02-07,785.9000244140625,1654.199951171875,2601.199951171875,852.75,1562.4000244140625,373.25,2165.300048828125,2128.344970703125,547.0999755859375,3472.550048828125
5,5,5,5,5,5,2023-02-08,775.0999755859375,1654.0,2582.800048828125,859.0999755859375,1590.5,375.5499877929688,2130.85009765625,2170.84912109375,549.75,3520.10009765625
6,6,6,6,6,6,2023-02-09,766.6500244140625,1650.550048828125,2586.699951171875,860.7999877929688,1617.0,374.25,2147.39990234375,2174.63330078125,550.7999877929688,3540.85009765625
7,7,7,7,7,7,2023-02-10,771.9500122070312,1657.0999755859375,2577.5,853.8499755859375,1608.550048828125,371.3500061035156,2163.85009765625,2156.727294921875,553.0499877929688,3537.550048828125
8,8,8,8,8,8,2023-02-13,768.5999755859375,1658.3499755859375,2581.0,850.6500244140625,1567.449951171875,374.2000122070313,2203.300048828125,2144.451416015625,537.5,3482.39990234375
9,9,9,9,9,9,2023-02-14,775.2000122070312,1673.699951171875,2579.60009765625,865.2999877929688,1593.25,386.4500122070313,2191.64990234375,2194.985595703125,540.8499755859375,3500.10009765625
10,10,10,10,10,10,2023-02-15,785.4000244140625,1670.300048828125,2548.449951171875,870.7999877929688,1597.050048828125,382.2000122070313,2175.050048828125,2244.68896484375,542.25,3520.64990234375
11,11,11,11,11,11,2023-02-16,784.4500122070312,1664.25,2527.10009765625,869.4500122070312,1601.800048828125,382.5499877929688,2178.300048828125,2242.935302734375,540.0999755859375,3558.050048828125
12,12,12,12,12,12,2023-02-17,776.7999877929688,1655.9000244140625,2515.5,862.6500244140625,1583.800048828125,383.3999938964844,2226.35009765625,2252.3037109375,531.0,3501.14990234375
13,13,13,13,13,13,2023-02-20,779.1500244140625,1640.3499755859375,2511.449951171875,852.0999755859375,1592.449951171875,384.0499877929688,2225.5,2228.490478515625,525.1500244140625,3487.300048828125
14,14,14,14,14,14,2023-02-21,779.0499877929688,1646.5,2516.14990234375,854.2000122070312,1579.5,382.25,2229.449951171875,2246.673583984375,523.4500122070312,3451.0
15,15,15,15,15,15,2023-02-22,772.1500244140625,1614.199951171875,2494.050048828125,839.25,1561.800048828125,383.8500061035156,2194.75,2195.723876953125,516.3499755859375,3401.550048828125
16,16,16,16,16,16,2023-02-23,762.9500122070312,1603.25,2490.64990234375,839.75,1550.699951171875,387.6000061035156,2159.14990234375,2185.20166015625,521.0,3413.800048828125
17,17,17,17,17,17,2023-02-24,757.0999755859375,1588.949951171875,2484.199951171875,839.7000122070312,1550.6500244140625,385.1000061035156,2134.050048828125,2200.154296875,521.0499877929688,3400.449951171875
18,18,18,18,18,18,2023-02-27,752.9000244140625,1592.9000244140625,2468.14990234375,856.4000244140625,1509.300048828125,382.2000122070313,2113.699951171875,2185.524658203125,527.7000122070312,3331.85009765625
19,19,19,19,19,19,2023-02-28,742.25,1599.5999755859375,2460.64990234375,854.8499755859375,1487.550048828125,376.7000122070313,2109.14990234375,2143.712890625,522.7999877929688,3312.85009765625
20,20,20,20,20,20,2023-03-01,750.2000122070312,1598.050048828125,2466.25,856.2999877929688,1496.050048828125,378.7000122070313,2115.300048828125,2163.4189453125,536.7000122070312,3385.699951171875
21,21,21,21,21,21,2023-03-02,740.0999755859375,1584.449951171875,2455.35009765625,854.0,1472.1500244140625,375.5499877929688,2121.60009765625,2146.943359375,533.75,3321.449951171875
22,22,22,22,22,22,2023-03-03,764.4000244140625,1615.9000244140625,2471.0,868.5499877929688,1479.300048828125,384.9500122070313,2152.050048828125,2201.723388671875,561.2000122070312,3342.14990234375
23,23,23,23,23,23,2023-03-06,766.5999755859375,1627.300048828125,2484.85009765625,867.75,1507.449951171875,388.1499938964844,2141.14990234375,2223.229248046875,561.7000122070312,3371.85009765625
24,24,24,24,24,24,2023-03-08,766.5499877929688,1630.550048828125,2485.10009765625,872.0999755859375,1492.699951171875,392.3999938964844,2170.800048828125,2231.21337890625,564.7999877929688,3390.39990234375
25,25,25,25,25,25,2023-03-09,773.4000244140625,1630.699951171875,2461.39990234375,855.9500122070312,1480.4000244140625,387.5,2193.199951171875,2177.5869140625,558.9000244140625,3336.85009765625
26,26,26,26,26,26,2023-03-10,773.75,1588.6500244140625,2465.449951171875,842.6500244140625,1471.550048828125,388.0,2157.85009765625,2143.851318359375,547.3499755859375,3331.0
27,27,27,27,27,27,2023-03-13,765.2999877929688,1568.550048828125,2455.10009765625,828.4000244140625,1435.0999755859375,383.6499938964844,2133.85009765625,2108.5927734375,530.0,3281.949951171875
28,28,28,28,28,28,2023-03-14,771.7999877929688,1564.3499755859375,2442.449951171875,830.3499755859375,1420.0,379.7000122070313,2144.199951171875,2100.701171875,525.4000244140625,3214.949951171875
29,29,29,29,29,29,2023-03-15,756.6500244140625,1541.9000244140625,2406.10009765625,825.9000244140625,1419.6500244140625,379.3999938964844,2176.64990234375,2064.79638671875,517.5499877929688,3198.89990234375
30,30,30,30,30,30,2023-03-16,745.9500122070312,1551.9000244140625,2459.35009765625,823.9000244140625,1404.0999755859375,381.4500122070313,2173.60009765625,2054.5048828125,524.5,3185.0
31,31,31,31,31,31,2023-03-17,757.25,1572.6500244140625,2447.39990234375,836.25,1420.699951171875,375.5499877929688,2195.75,2051.920654296875,529.7999877929688,3179.300048828125
